StudentID,ID,Staff,Date,Note
1,9SjDpqG,Manna,07/05/2022,5月のスケジュールについてのご返信をまだ頂けていないので、本日またメールを差し上げました。返信待ち。（レッスン料はお支払い済み）
1,R5LCoAs,Manna,30/04/2022,来月のスケジュールについてメールでお伺いしています。返信待ち。
1,FAuCYc7,MIchelle,14/04/2022,"Hanae Kazama様２週間連絡付かず欠席してます。もし何か連絡が来ましたら宜しくお願いします。
電話つながりません。シャムさんのメールも返事が来てないです。"
2,Fz3fvT6,Kaz,23/03/2022,メールでご様子を伺ってみました。→ご返信なし
2,FowsSEQ,Michelle,28/09/2021,"奥さんが入院(妊娠中)するかもしれないからもしかして10月レッスン来れない。
検査の結果が出ましたらまた連絡くれます。"
3,LpZ0gKl,Manna,22/03/2022,大阪にお引越し（転勤？）されるため、ご退会されました。
3,sfm8ly8,Manna,15/03/2022,シャムにメールを頂き、仕事の為、当日キャンセルとなりました。
3,S9SGVFj,Michelle,01/02/2022,当日キャンセル
3,UYZcUiw,Michelle,30/11/2021,Koichi Makita様12月のスケジュールは最後の週が休校の為また自分のスケジュールを確認してから連絡します。月4回ーお支払い済みです。
3,Llqqpgi,MICHELLE,16/11/2021,当日キャンセル
4,olpTk41,Kaz,21/10/2021,シャムとZoomレッスンであったがお忘れだったようで電話でお知らせする。シャムによるとご多忙の方だそうです。
5,lXe6k6c,May,29/01/2025,ホットでアールグレー（ミルク、砂糖２つ）提供。２月分4回分スケジュールいただきました。お月謝はお振込みです。
5,koO6akO,May,26/03/2025,ホットでアールグレー（ミルク、砂糖２つ）提供。3月分4回分スケジュールいただきました。お月謝お振込み頂いてます。
5,8mBWhPk,May,27/03/2025,アップルジュース提供。4月は月5、スケジュール頂きました。（固定通り）。お月謝振込予定。
5,I0Y2oEA,May,30/04/2025,氷なしストロー無しでアップルジュース提供。5月は月4で固定どおりのスケジュールです。お月謝振込です。
6,atOtXJL,May,08/01/2025,明日のレッスンお振替ご希望とのことメールでご連絡あり（予定が合わなくなったそうです）、日程調整の後、明後日にお振替決定。
6,ObVO45M,Rie,10/01/2025,1月分のスケジュール（全4回）お済みです。
6,fIdbuth,May,22/01/2025,明日のレッスンお振り替え希望、ご希望の金曜日午後でご案内済み、返信まち
6,FL2qFZH,May,23/01/2025,昨日ご連絡頂いた本日のレッスンのお振り替えの件で、返信あり。明日へのお振り替え決定。
6,yF9Xlgg,May,30/01/2025,２月分のお月謝とスケジュール４回分、CC支払いで頂きました。
